username,followers,following,uploads,average_engagement_rate,date,
"levis","7236140","1152","2858","0.35","2020-01-22+18:32:01",
"levis","7236012","1152","2858","0.39","2020-01-21+18:32:01",
"levis","7235883","1151","2857","0.43","2020-01-20+18:32:01",
"levis","7235754","1151","2856","0.48","2020-01-19+18:32:01",
"levis","7235625","1151","2855","0.52","2020-01-18+18:32:01",
"levis","7235497","1151","2855","0.56","2020-01-17+18:32:01",
"levis","7234598","1149","2854","0.59","2020-01-16+08:35:01",
"levis","7233699","1148","2853","0.61","2020-01-15+08:35:01",
"levis","7232800","1147","2852","0.64","2020-01-14+08:35:01",
"levis","7231902","1145","2851","0.66","2020-01-13+08:35:01",
"levis","7231003","1144","2850","0.69","2020-01-12+08:35:01",
"levis","7230104","1143","2849","0.71","2020-01-11+08:35:01",
"levis","7229206","1142","2849","0.74","2020-01-10+08:35:01",
"levis","7227316","1141","2848","0.71","2020-01-09+01:22:01",
"levis","7225426","1141","2848","0.69","2020-01-08+01:22:01",
"levis","7223536","1141","2847","0.66","2020-01-07+01:22:01",
"levis","7221646","1141","2847","0.64","2020-01-06+01:22:01",
"levis","7219756","1141","2846","0.61","2020-01-05+01:22:01",
"levis","7217866","1141","2846","0.59","2020-01-04+01:22:01",
"levis","7215976","1141","2846","0.56","2020-01-03+01:22:01",
"levis","7214894","1140","2845","0.55","2020-01-02+17:30:01",
"levis","7213812","1140","2845","0.54","2020-01-01+17:30:01",
"levis","7212731","1140","2845","0.53","2019-12-31+17:30:01",
"levis","7211649","1140","2845","0.52","2019-12-30+17:30:01",
"levis","7210567","1140","2844","0.50","2019-12-29+17:30:01",
"levis","7209486","1140","2844","0.49","2019-12-28+17:30:01",
"levis","7208404","1140","2844","0.48","2019-12-27+17:30:01",
"levis","7207323","1140","2844","0.47","2019-12-26+17:30:01",
"levis","7205166","1140","2843","0.45","2019-12-25+11:47:01",
"levis","7203010","1140","2842","0.43","2019-12-24+11:47:01",
"levis","7200854","1140","2842","0.41","2019-12-23+11:47:01",
"levis","7198697","1140","2841","0.40","2019-12-22+11:47:01",
