username,followers,following,uploads,average_engagement_rate,date,
"louisvuitton","36744003","5","4050","0.30","2020-01-22+12:16:35",
"louisvuitton","36723126","5","4046","0.29","2020-01-21+12:16:35",
"louisvuitton","36702249","5","4042","0.28","2020-01-20+12:16:35",
"louisvuitton","36681371","5","4038","0.27","2020-01-19+12:16:35",
"louisvuitton","36660494","5","4034","0.25","2020-01-18+12:16:35",
"louisvuitton","36639617","5","4030","0.24","2020-01-17+12:16:35",
"louisvuitton","36606725","5","4019","0.22","2020-01-15+17:08:01",
"louisvuitton","36585854","5","4016","0.24","2020-01-14+07:52:51",
"louisvuitton","36564984","5","4014","0.27","2020-01-13+07:52:51",
"louisvuitton","36544114","5","4012","0.29","2020-01-12+07:52:51",
"louisvuitton","36523244","5","4010","0.32","2020-01-11+07:52:51",
"louisvuitton","36502374","5","4008","0.34","2020-01-10+07:52:51",
"louisvuitton","36481504","5","4006","0.37","2020-01-09+07:52:51",
"louisvuitton","36460634","5","4004","0.39","2020-01-08+07:52:51",
"louisvuitton","36396548","5","3997","0.32","2020-01-04+05:40:01",
"louisvuitton","36383619","5","3995","0.32","2020-01-03+22:42:08",
"louisvuitton","36370691","5","3993","0.33","2020-01-02+22:42:08",
"louisvuitton","36357762","5","3992","0.33","2020-01-01+22:42:08",
"louisvuitton","36344834","5","3990","0.34","2019-12-31+22:42:08",
"louisvuitton","36331906","5","3988","0.34","2019-12-30+22:42:08",
"louisvuitton","36318977","5","3987","0.34","2019-12-29+22:42:08",
"louisvuitton","36306049","5","3985","0.35","2019-12-28+22:42:08",
"louisvuitton","36293121","5","3984","0.35","2019-12-27+22:42:08",
"louisvuitton","36266410","5","3984","0.34","2019-12-26+17:35:01",
"louisvuitton","36247643","5","3981","0.34","2019-12-25+11:53:01",
"louisvuitton","36228877","5","3978","0.35","2019-12-24+11:53:01",
"louisvuitton","36210111","5","3975","0.35","2019-12-23+11:53:01",
"louisvuitton","36191344","5","3972","0.35","2019-12-22+11:53:01",
