username,followers,following,uploads,average_engagement_rate,date,
"forever21","16223657","362","10824","0.13","2020-01-22+18:38:01",
"forever21","16226190","362","10821","0.12","2020-01-21+18:38:01",
"forever21","16228723","362","10818","0.10","2020-01-20+18:38:01",
"forever21","16231255","362","10814","0.09","2020-01-19+18:38:01",
"forever21","16233788","362","10811","0.08","2020-01-18+18:38:01",
"forever21","16236321","362","10808","0.07","2020-01-17+18:38:01",
"forever21","16238718","361","10805","0.07","2020-01-16+08:41:01",
"forever21","16241116","361","10802","0.08","2020-01-15+08:41:01",
"forever21","16243513","361","10799","0.08","2020-01-14+08:41:01",
"forever21","16245911","361","10796","0.08","2020-01-13+08:41:01",
"forever21","16248308","361","10793","0.08","2020-01-12+08:41:01",
"forever21","16250706","361","10790","0.09","2020-01-11+08:41:01",
"forever21","16253104","361","10787","0.09","2020-01-10+08:41:01",
"forever21","16256142","360","10782","0.09","2020-01-09+01:27:01",
"forever21","16259181","359","10778","0.09","2020-01-08+01:27:01",
"forever21","16262220","359","10773","0.09","2020-01-07+01:27:01",
"forever21","16265258","358","10769","0.09","2020-01-06+01:27:01",
"forever21","16268297","358","10764","0.09","2020-01-05+01:27:01",
"forever21","16271336","357","10760","0.09","2020-01-04+01:27:01",
"forever21","16274375","357","10756","0.09","2020-01-03+01:27:01",
"forever21","16277602","356","10752","0.10","2020-01-02+17:34:01",
"forever21","16280830","356","10748","0.10","2020-01-01+17:34:01",
"forever21","16284058","356","10745","0.11","2019-12-31+17:34:01",
"forever21","16287286","356","10741","0.11","2019-12-30+17:34:01",
"forever21","16290514","356","10737","0.12","2019-12-29+17:34:01",
"forever21","16293742","356","10734","0.12","2019-12-28+17:34:01",
"forever21","16296970","356","10730","0.13","2019-12-27+17:34:01",
"forever21","16300198","356","10727","0.13","2019-12-26+17:34:01",
"forever21","16302777","356","10722","0.12","2019-12-25+11:51:01",
"forever21","16305356","356","10717","0.11","2019-12-24+11:51:01",
"forever21","16307935","356","10712","0.10","2019-12-23+11:51:01",
"forever21","16310514","356","10708","0.10","2019-12-22+11:51:01",
