username,followers,following,uploads,average_engagement_rate,date,
"chanelofficial","38553912","2","2216","0.15","2020-01-22+15:05:01",
"chanelofficial","38534318","2","2212","0.15","2020-01-21+15:05:01",
"chanelofficial","38514723","2","2207","0.15","2020-01-20+15:05:01",
"chanelofficial","38495129","2","2203","0.15","2020-01-19+15:05:01",
"chanelofficial","38475535","2","2198","0.15","2020-01-18+15:05:01",
"chanelofficial","38455941","2","2194","0.15","2020-01-17+15:05:01",
"chanelofficial","38446618","2","2191","0.16","2020-01-16+05:07:01",
"chanelofficial","38437296","2","2188","0.18","2020-01-15+05:07:01",
"chanelofficial","38427974","2","2185","0.19","2020-01-14+05:07:01",
"chanelofficial","38418652","2","2182","0.20","2020-01-13+05:07:01",
"chanelofficial","38409330","2","2179","0.21","2020-01-12+05:07:01",
"chanelofficial","38400008","2","2176","0.23","2020-01-11+05:07:01",
"chanelofficial","38390686","2","2173","0.24","2020-01-10+05:07:01",
"chanelofficial","38383146","2","2172","0.24","2020-01-09+21:56:01",
"chanelofficial","38375607","2","2171","0.23","2020-01-08+21:56:01",
"chanelofficial","38368067","2","2170","0.23","2020-01-07+21:56:01",
"chanelofficial","38360528","2","2169","0.22","2020-01-06+21:56:01",
"chanelofficial","38352989","2","2168","0.22","2020-01-05+21:56:01",
"chanelofficial","38345449","2","2167","0.21","2020-01-04+21:56:01",
"chanelofficial","38337910","2","2166","0.21","2020-01-03+21:56:01",
"chanelofficial","38330371","2","2166","0.20","2020-01-02+21:56:01",
"chanelofficial","38322461","2","2165","0.20","2020-01-01+08:26:22",
"chanelofficial","38314552","2","2165","0.20","2019-12-31+08:26:22",
"chanelofficial","38306643","2","2165","0.20","2019-12-30+08:26:22",
"chanelofficial","38298733","2","2165","0.20","2019-12-29+08:26:22",
"chanelofficial","38290824","2","2164","0.20","2019-12-28+08:26:22",
"chanelofficial","38282915","2","2164","0.20","2019-12-27+08:26:22",
"chanelofficial","38275006","2","2164","0.21","2019-12-26+08:26:22",
"chanelofficial","38267096","2","2164","0.21","2019-12-25+08:26:22",
"chanelofficial","38259187","2","2164","0.21","2019-12-24+08:26:22",
"chanelofficial","38251278","2","2163","0.21","2019-12-23+08:26:22",
"chanelofficial","38243368","2","2163","0.21","2019-12-22+08:26:22",
