username,followers,following,uploads,average_engagement_rate,date,
"zara","37883901","58","2851","0.13","2020-01-22+15:01:25",
"zara","37869073","58","2850","0.13","2020-01-21+15:01:25",
"zara","37854245","58","2849","0.13","2020-01-20+15:01:25",
"zara","37839417","58","2848","0.13","2020-01-19+15:01:25",
"zara","37824588","58","2847","0.13","2020-01-18+15:01:25",
"zara","37809760","58","2846","0.12","2020-01-17+15:01:25",
"zara","37794932","58","2845","0.12","2020-01-16+15:01:25",
"zara","37780104","58","2844","0.12","2020-01-15+15:01:25",
"zara","37765276","58","2844","0.12","2020-01-14+15:01:25",
"zara","37624168","58","2841","0.18","2020-01-05+15:53:01",
"zara","37606035","58","2840","0.18","2020-01-04+02:10:09",
"zara","37587903","58","2840","0.18","2020-01-03+02:10:09",
"zara","37569771","58","2839","0.18","2020-01-02+02:10:09",
"zara","37551638","58","2839","0.19","2020-01-01+02:10:09",
"zara","37533506","58","2838","0.19","2019-12-31+02:10:09",
"zara","37515374","58","2838","0.19","2019-12-30+02:10:09",
"zara","37497242","58","2838","0.19","2019-12-29+02:10:09",
"zara","37479109","58","2837","0.19","2019-12-28+02:10:09",
"zara","37460977","58","2837","0.19","2019-12-27+02:10:09",
"zara","37442845","58","2836","0.19","2019-12-26+02:10:09",
"zara","37424712","58","2836","0.20","2019-12-25+02:10:09",
"zara","37406580","58","2835","0.20","2019-12-24+02:10:09",
"zara","37388448","58","2835","0.20","2019-12-23+02:10:09",
"zara","37370316","58","2835","0.20","2019-12-22+02:10:09",
