username,followers,following,uploads,average_engagement_rate,date,
"ralphlauren","11708029","6","5168","0.21","2020-01-22+18:33:01",
"ralphlauren","11702205","6","5167","0.20","2020-01-21+18:33:01",
"ralphlauren","11696380","6","5165","0.18","2020-01-20+18:33:01",
"ralphlauren","11690555","6","5164","0.17","2020-01-19+18:33:01",
"ralphlauren","11684730","6","5163","0.16","2020-01-18+18:33:01",
"ralphlauren","11678906","6","5162","0.15","2020-01-17+18:33:01",
"ralphlauren","11673614","6","5159","0.16","2020-01-16+08:36:01",
"ralphlauren","11668323","6","5156","0.17","2020-01-15+08:36:01",
"ralphlauren","11663032","6","5153","0.18","2020-01-14+08:36:01",
"ralphlauren","11657741","6","5151","0.20","2020-01-13+08:36:01",
"ralphlauren","11652450","6","5148","0.21","2020-01-12+08:36:01",
"ralphlauren","11647159","6","5145","0.22","2020-01-11+08:36:01",
"ralphlauren","11641868","6","5143","0.23","2020-01-10+08:36:01",
"ralphlauren","11637791","6","5141","0.23","2020-01-09+01:22:01",
"ralphlauren","11633714","6","5139","0.23","2020-01-08+01:22:01",
"ralphlauren","11629637","6","5138","0.23","2020-01-07+01:22:01",
"ralphlauren","11625560","6","5136","0.24","2020-01-06+01:22:01",
"ralphlauren","11621483","6","5135","0.24","2020-01-05+01:22:01",
"ralphlauren","11617406","6","5133","0.24","2020-01-04+01:22:01",
"ralphlauren","11613330","6","5132","0.24","2020-01-03+01:22:01",
"ralphlauren","11610700","6","5130","0.24","2020-01-02+17:30:01",
"ralphlauren","11608071","6","5129","0.23","2020-01-01+17:30:01",
"ralphlauren","11605442","6","5127","0.23","2019-12-31+17:30:01",
"ralphlauren","11602813","6","5126","0.23","2019-12-30+17:30:01",
"ralphlauren","11600184","6","5124","0.22","2019-12-29+17:30:01",
"ralphlauren","11597555","6","5123","0.22","2019-12-28+17:30:01",
"ralphlauren","11594926","6","5121","0.21","2019-12-27+17:30:01",
"ralphlauren","11592297","6","5120","0.21","2019-12-26+17:30:01",
"ralphlauren","11588531","6","5117","0.20","2019-12-25+11:48:01",
"ralphlauren","11584765","6","5115","0.20","2019-12-24+11:48:01",
"ralphlauren","11580999","6","5113","0.19","2019-12-23+11:48:01",
"ralphlauren","11577233","6","5111","0.19","2019-12-22+11:48:01",
