username,followers,following,uploads,average_engagement_rate,date,
"calvinklein","20397166","377","5496","0.33","2020-01-22+18:34:01",
"calvinklein","20385520","377","5493","0.36","2020-01-21+18:34:01",
"calvinklein","20373874","377","5490","0.38","2020-01-20+18:34:01",
"calvinklein","20362227","377","5487","0.41","2020-01-19+18:34:01",
"calvinklein","20350581","377","5484","0.43","2020-01-18+18:34:01",
"calvinklein","20338935","378","5482","0.46","2020-01-17+18:34:01",
"calvinklein","20329988","378","5479","0.43","2020-01-16+08:38:01",
"calvinklein","20321041","378","5476","0.39","2020-01-15+08:38:01",
"calvinklein","20312094","378","5473","0.36","2020-01-14+08:38:01",
"calvinklein","20303147","378","5471","0.33","2020-01-13+08:38:01",
"calvinklein","20294200","378","5468","0.30","2020-01-12+08:38:01",
"calvinklein","20285253","378","5465","0.26","2020-01-11+08:38:01",
"calvinklein","20276307","378","5463","0.23","2020-01-10+08:38:01",
"calvinklein","20264325","378","5461","0.26","2020-01-09+01:24:01",
"calvinklein","20252343","378","5459","0.29","2020-01-08+01:24:01",
"calvinklein","20240361","378","5457","0.32","2020-01-07+01:24:01",
"calvinklein","20228380","378","5455","0.36","2020-01-06+01:24:01",
"calvinklein","20216398","378","5453","0.39","2020-01-05+01:24:01",
"calvinklein","20204416","378","5451","0.42","2020-01-04+01:24:01",
"calvinklein","20192435","378","5449","0.45","2020-01-03+01:24:01",
"calvinklein","20184877","377","5446","0.47","2020-01-02+17:32:01",
"calvinklein","20177319","377","5443","0.50","2020-01-01+17:32:01",
"calvinklein","20169761","377","5441","0.52","2019-12-31+17:32:01",
"calvinklein","20162203","377","5438","0.55","2019-12-30+17:32:01",
"calvinklein","20154645","377","5435","0.57","2019-12-29+17:32:01",
"calvinklein","20147087","377","5433","0.59","2019-12-28+17:32:01",
"calvinklein","20139529","377","5430","0.62","2019-12-27+17:32:01",
"calvinklein","20131972","377","5428","0.64","2019-12-26+17:32:01",
"calvinklein","20120058","377","5424","0.64","2019-12-25+11:49:01",
"calvinklein","20108144","377","5421","0.63","2019-12-24+11:49:01",
"calvinklein","20096230","377","5418","0.63","2019-12-23+11:49:01",
"calvinklein","20084317","377","5415","0.62","2019-12-22+11:49:01",
