username,followers,following,uploads,average_engagement_rate,date,
"tommyhilfiger","13625526","339","2557","0.48","2020-01-22+18:39:01",
"tommyhilfiger","13623701","339","2557","0.49","2020-01-21+18:39:01",
"tommyhilfiger","13621876","339","2556","0.49","2020-01-20+18:39:01",
"tommyhilfiger","13620052","339","2555","0.49","2020-01-19+18:39:01",
"tommyhilfiger","13618227","339","2554","0.50","2020-01-18+18:39:01",
"tommyhilfiger","13616403","339","2554","0.50","2020-01-17+18:39:01",
"tommyhilfiger","13612446","339","2610","0.50","2020-01-16+08:42:01",
"tommyhilfiger","13608490","339","2667","0.49","2020-01-15+08:42:01",
"tommyhilfiger","13604534","339","2724","0.49","2020-01-14+08:42:01",
"tommyhilfiger","13600578","339","2781","0.48","2020-01-13+08:42:01",
"tommyhilfiger","13596622","339","2838","0.48","2020-01-12+08:42:01",
"tommyhilfiger","13592666","339","2895","0.47","2020-01-11+08:42:01",
"tommyhilfiger","13588710","339","2952","0.47","2020-01-10+08:42:01",
"tommyhilfiger","13583823","339","3007","0.45","2020-01-09+01:28:01",
"tommyhilfiger","13578937","339","3063","0.44","2020-01-08+01:28:01",
"tommyhilfiger","13574051","339","3119","0.42","2020-01-07+01:28:01",
"tommyhilfiger","13569164","339","3174","0.41","2020-01-06+01:28:01",
"tommyhilfiger","13564278","339","3230","0.39","2020-01-05+01:28:01",
"tommyhilfiger","13559392","339","3286","0.38","2020-01-04+01:28:01",
"tommyhilfiger","13554506","339","3342","0.36","2020-01-03+01:28:01",
"tommyhilfiger","13551829","339","3341","0.36","2020-01-02+17:35:01",
"tommyhilfiger","13549152","339","3340","0.35","2020-01-01+17:35:01",
"tommyhilfiger","13546475","339","3339","0.35","2019-12-31+17:35:01",
"tommyhilfiger","13543799","339","3338","0.34","2019-12-30+17:35:01",
"tommyhilfiger","13541122","339","3337","0.34","2019-12-29+17:35:01",
"tommyhilfiger","13538445","339","3336","0.33","2019-12-28+17:35:01",
"tommyhilfiger","13535768","339","3335","0.33","2019-12-27+17:35:01",
"tommyhilfiger","13533092","339","3334","0.32","2019-12-26+17:35:01",
"tommyhilfiger","13529309","339","3333","0.34","2019-12-25+11:52:01",
"tommyhilfiger","13525526","339","3332","0.35","2019-12-24+11:52:01",
"tommyhilfiger","13521743","339","3331","0.37","2019-12-23+11:52:01",
"tommyhilfiger","13517960","339","3330","0.39","2019-12-22+11:52:01",
