username,followers,following,uploads,average_engagement_rate,date,
"puma","10952286","10","2765","1.03","2020-01-22+18:38:01",
"puma","10949040","10","2764","1.10","2020-01-21+18:38:01",
"puma","10945793","10","2763","1.17","2020-01-20+18:38:01",
"puma","10942546","10","2763","1.24","2020-01-19+18:38:01",
"puma","10939299","10","2762","1.30","2020-01-18+18:38:01",
"puma","10936053","10","2762","1.37","2020-01-17+18:38:01",
"puma","10933028","10","2760","1.35","2020-01-16+08:41:01",
"puma","10930004","10","2759","1.32","2020-01-15+08:41:01",
"puma","10926980","10","2758","1.30","2020-01-14+08:41:01",
"puma","10923956","10","2757","1.28","2020-01-13+08:41:01",
"puma","10920932","10","2756","1.26","2020-01-12+08:41:01",
"puma","10917908","10","2755","1.23","2020-01-11+08:41:01",
"puma","10914884","10","2754","1.21","2020-01-10+08:41:01",
"puma","10911199","10","2753","1.17","2020-01-09+01:27:01",
"puma","10907514","10","2753","1.12","2020-01-08+01:27:01",
"puma","10903829","10","2753","1.08","2020-01-07+01:27:01",
"puma","10900144","10","2752","1.04","2020-01-06+01:27:01",
"puma","10896459","10","2752","1.00","2020-01-05+01:27:01",
"puma","10892774","10","2752","0.95","2020-01-04+01:27:01",
"puma","10889090","10","2752","0.91","2020-01-03+01:27:01",
"puma","10887307","10","2751","0.89","2020-01-02+17:35:01",
"puma","10885525","10","2751","0.86","2020-01-01+17:35:01",
"puma","10883742","10","2750","0.84","2019-12-31+17:35:01",
"puma","10881960","10","2750","0.82","2019-12-30+17:35:01",
"puma","10880178","10","2749","0.79","2019-12-29+17:35:01",
"puma","10878395","10","2749","0.77","2019-12-28+17:35:01",
"puma","10876613","10","2748","0.74","2019-12-27+17:35:01",
"puma","10874831","10","2748","0.72","2019-12-26+17:35:01",
"puma","10871196","10","2747","0.74","2019-12-25+11:52:01",
"puma","10867561","10","2746","0.76","2019-12-24+11:52:01",
"puma","10863926","10","2745","0.78","2019-12-23+11:52:01",
"puma","10860291","10","2745","0.79","2019-12-22+11:52:01",
