username,followers,following,uploads,average_engagement_rate,date,
"hm","34677577","454","5454","0.26","2020-01-22+18:32:01",
"hm","34667038","454","5452","0.26","2020-01-21+18:32:01",
"hm","34656499","453","5450","0.26","2020-01-20+18:32:01",
"hm","34645959","453","5447","0.26","2020-01-19+18:32:01",
"hm","34635420","453","5445","0.26","2020-01-18+18:32:01",
"hm","34624881","453","5443","0.26","2020-01-17+18:32:01",
"hm","34611881","453","5440","0.26","2020-01-16+08:35:01",
"hm","34598882","453","5437","0.26","2020-01-15+08:35:01",
"hm","34585882","453","5435","0.26","2020-01-14+08:35:01",
"hm","34572883","453","5432","0.26","2020-01-13+08:35:01",
"hm","34559883","453","5430","0.26","2020-01-12+08:35:01",
"hm","34546884","453","5427","0.26","2020-01-11+08:35:01",
"hm","34533885","453","5425","0.26","2020-01-10+08:35:01",
"hm","34517422","453","5422","0.28","2020-01-09+01:21:01",
"hm","34500960","453","5420","0.30","2020-01-08+01:21:01",
"hm","34484497","453","5418","0.32","2020-01-07+01:21:01",
"hm","34468035","453","5416","0.35","2020-01-06+01:21:01",
"hm","34451572","453","5414","0.37","2020-01-05+01:21:01",
"hm","34435110","453","5412","0.39","2020-01-04+01:21:01",
"hm","34418648","453","5410","0.41","2020-01-03+01:21:01",
"hm","34407178","452","5408","0.39","2020-01-02+17:28:01",
"hm","34395709","452","5406","0.38","2020-01-01+17:28:01",
"hm","34384239","451","5405","0.36","2019-12-31+17:28:01",
"hm","34372770","451","5403","0.35","2019-12-30+17:28:01",
"hm","34361300","450","5401","0.33","2019-12-29+17:28:01",
"hm","34349831","450","5400","0.31","2019-12-28+17:28:01",
"hm","34338361","449","5398","0.30","2019-12-27+17:28:01",
"hm","34326892","449","5397","0.28","2019-12-26+17:28:01",
"hm","34314417","449","5394","0.27","2019-12-25+11:45:01",
"hm","34301942","449","5392","0.27","2019-12-24+11:45:01",
"hm","34289467","449","5389","0.26","2019-12-23+11:45:01",
"hm","34276993","449","5387","0.25","2019-12-22+11:45:01",
