username,followers,following,uploads,average_engagement_rate,date,
"gucci","39014258","194","6540","0.17","2020-01-20+12:26:36",
"gucci","38978957","194","6530","0.14","2020-01-18+13:26:02",
"gucci","38907253","193","6491","0.19","2020-01-13+09:55:12",
"gucci","38870981","193","6482","0.24","2020-01-11+08:22:01",
"gucci","38854862","192","6478","0.25","2020-01-10+23:59:01",
"gucci","38838744","192","6475","0.25","2020-01-09+23:59:01",
"gucci","38822626","192","6472","0.26","2020-01-08+23:59:01",
"gucci","38806508","192","6469","0.27","2020-01-07+23:59:01",
"gucci","38790390","192","6465","0.27","2020-01-06+23:59:01",
"gucci","38774272","192","6462","0.28","2020-01-05+23:59:01",
"gucci","38758154","192","6459","0.28","2020-01-04+23:59:01",
"gucci","38742036","192","6456","0.29","2020-01-03+23:59:01",
"gucci","38727105","192","6454","0.28","2020-01-02+17:08:38",
"gucci","38712175","192","6452","0.26","2020-01-01+17:08:38",
"gucci","38697244","192","6450","0.25","2019-12-31+17:08:38",
"gucci","38682314","192","6448","0.24","2019-12-30+17:08:38",
"gucci","38667383","192","6446","0.23","2019-12-29+17:08:38",
"gucci","38652453","192","6444","0.21","2019-12-28+17:08:38",
"gucci","38637523","192","6442","0.20","2019-12-27+17:08:38",
"gucci","38551316","192","6433","0.22","2019-12-22+21:00:01",
