username,followers,following,uploads,average_engagement_rate,date,
"adidas","25312590","165","756","0.48","2020-01-19+13:24:12",
"adidas","25294006","165","756","0.47","2020-01-16+18:25:01",
"adidas","25288176","165","755","0.48","2020-01-15+08:50:14",
"adidas","25282346","165","755","0.48","2020-01-14+08:50:14",
"adidas","25276516","165","755","0.49","2020-01-13+08:50:14",
"adidas","25270687","165","754","0.49","2020-01-12+08:50:14",
"adidas","25264857","165","754","0.50","2020-01-11+08:50:14",
"adidas","25259027","165","754","0.50","2020-01-10+08:50:14",
"adidas","25253198","165","754","0.51","2020-01-09+08:50:14",
"adidas","25239729","165","757","0.51","2020-01-07+06:22:01",
"adidas","25234186","165","757","0.51","2020-01-06+15:44:01",
"adidas","25228643","165","757","0.51","2020-01-05+15:44:01",
"adidas","25223100","165","757","0.51","2020-01-04+15:44:01",
"adidas","25217558","165","757","0.51","2020-01-03+15:44:01",
"adidas","25212015","165","757","0.51","2020-01-02+15:44:01",
"adidas","25206472","165","757","0.51","2020-01-01+15:44:01",
"adidas","25200929","165","757","0.51","2019-12-31+15:44:01",
"adidas","25195387","165","757","0.50","2019-12-30+15:44:01",
"adidas","25189844","165","757","0.50","2019-12-29+15:44:01",
"adidas","25184301","165","757","0.50","2019-12-28+15:44:01",
"adidas","25178758","165","757","0.50","2019-12-27+15:44:01",
"adidas","25173216","165","757","0.50","2019-12-26+15:44:01",
"adidas","25167673","165","757","0.50","2019-12-25+15:44:01",
"adidas","25162130","165","757","0.50","2019-12-24+15:44:01",
"adidas","25156588","165","757","0.50","2019-12-23+15:44:01",
"adidas","25147876","165","756","0.49","2019-12-22+13:28:02",
