username,followers,following,uploads,average_engagement_rate,date,
"vans","18078414","299","3676","0.37","2020-01-22+18:39:01",
"vans","18076124","299","3675","0.39","2020-01-21+18:39:01",
"vans","18073834","299","3674","0.40","2020-01-20+18:39:01",
"vans","18071544","299","3673","0.41","2020-01-19+18:39:01",
"vans","18069254","299","3672","0.42","2020-01-18+18:39:01",
"vans","18066965","299","3671","0.43","2020-01-17+18:39:01",
"vans","18064433","299","3669","0.42","2020-01-16+08:42:01",
"vans","18061901","299","3668","0.41","2020-01-15+08:42:01",
"vans","18059369","299","3666","0.40","2020-01-14+08:42:01",
"vans","18056837","299","3665","0.40","2020-01-13+08:42:01",
"vans","18054305","299","3663","0.39","2020-01-12+08:42:01",
"vans","18051773","299","3662","0.38","2020-01-11+08:42:01",
"vans","18049241","299","3661","0.37","2020-01-10+08:42:01",
"vans","18048742","299","3659","0.38","2020-01-09+01:29:01",
"vans","18048244","299","3658","0.40","2020-01-08+01:29:01",
"vans","18047745","299","3656","0.41","2020-01-07+01:29:01",
"vans","18047247","299","3655","0.43","2020-01-06+01:29:01",
"vans","18046748","299","3653","0.44","2020-01-05+01:29:01",
"vans","18046250","299","3652","0.46","2020-01-04+01:29:01",
"vans","18045752","299","3651","0.47","2020-01-03+01:29:01",
"vans","18045265","299","3650","0.46","2020-01-02+17:37:01",
"vans","18044779","299","3649","0.46","2020-01-01+17:37:01",
"vans","18044292","299","3649","0.45","2019-12-31+17:37:01",
"vans","18043806","299","3648","0.45","2019-12-30+17:37:01",
"vans","18043320","299","3647","0.44","2019-12-29+17:37:01",
"vans","18042833","299","3647","0.43","2019-12-28+17:37:01",
"vans","18042347","299","3646","0.43","2019-12-27+17:37:01",
"vans","18041861","299","3646","0.42","2019-12-26+17:37:01",
"vans","18039575","299","3645","0.42","2019-12-25+11:55:01",
"vans","18037289","299","3645","0.42","2019-12-24+11:55:01",
"vans","18035003","299","3644","0.42","2019-12-23+11:55:01",
"vans","18032717","299","3644","0.41","2019-12-22+11:55:01",
