username,followers,following,uploads,average_engagement_rate,date,
"boss","7689383","2","3650","0.13","2020-01-22+18:44:01",
"boss","7687613","2","3650","0.13","2020-01-21+18:44:01",
"boss","7685842","2","3649","0.12","2020-01-20+18:44:01",
"boss","7684072","2","3648","0.12","2020-01-19+18:44:01",
"boss","7682302","2","3647","0.11","2020-01-18+18:44:01",
"boss","7680532","2","3647","0.11","2020-01-17+18:44:01",
"boss","7678794","2","3645","0.12","2020-01-16+08:47:01",
"boss","7677057","2","3644","0.13","2020-01-15+08:47:01",
"boss","7675319","2","3643","0.14","2020-01-14+08:47:01",
"boss","7673582","2","3641","0.15","2020-01-13+08:47:01",
"boss","7671844","2","3640","0.16","2020-01-12+08:47:01",
"boss","7670107","2","3639","0.17","2020-01-11+08:47:01",
"boss","7668370","2","3638","0.18","2020-01-10+08:47:01",
"boss","7665680","2","3636","0.18","2020-01-09+01:33:01",
"boss","7662990","2","3635","0.19","2020-01-08+01:33:01",
"boss","7660300","2","3634","0.19","2020-01-07+01:33:01",
"boss","7657610","2","3632","0.20","2020-01-06+01:33:01",
"boss","7654920","2","3631","0.20","2020-01-05+01:33:01",
"boss","7652230","2","3630","0.21","2020-01-04+01:33:01",
"boss","7649541","2","3629","0.21","2020-01-03+01:33:01",
"boss","7647030","2","3628","0.21","2020-01-02+17:40:01",
"boss","7644519","2","3628","0.21","2020-01-01+17:40:01",
"boss","7642008","2","3627","0.21","2019-12-31+17:40:01",
"boss","7639498","2","3627","0.21","2019-12-30+17:40:01",
"boss","7636987","2","3627","0.21","2019-12-29+17:40:01",
"boss","7634476","2","3626","0.21","2019-12-28+17:40:01",
"boss","7631965","2","3626","0.21","2019-12-27+17:40:01",
"boss","7629455","2","3626","0.21","2019-12-26+17:40:01",
"boss","7623768","2","3625","0.21","2019-12-25+11:57:01",
"boss","7618081","2","3625","0.20","2019-12-24+11:57:01",
"boss","7612394","2","3624","0.20","2019-12-23+11:57:01",
"boss","7606708","2","3624","0.20","2019-12-22+11:57:01",
